id,depression_pre,hostility_pre,boredom_pre,liveliness_pre,well_being_pre,friendliness_pre,concentration_pre,startle_pre,50_ratio_overall_forward,50_ratio_nofirst_forward,50_ratio_after_lose_forward,cases_lose_forward,50_ratio_after_gain_forward,cases_gain_forward,50_ratio_after_L10_forward,cases_L10_forward,50_ratio_after_G10_forward,cases_G10_forward,50_ratio_after_L50_forward,cases_L50_forward,50_ratio_after_G50_forward,cases_G50_forward,feel_L10_forward,feel_G10_forward,feel_L50_forward,feel_G50_forward,depression_forward,hostility_forward,boredom_forward,liveliness_forward,well_being_forward,friendliness_forward,concentration_forward,startle_forward,50_ratio_overall_backward,50_ratio_nofirst_backward,50_ratio_after_lose_backward,cases_lose_backward,50_ratio_after_gain_backward,cases_gain_backward,50_ratio_after_L10_backward,cases_L10_backward,50_ratio_after_G10_backward,cases_G10_backward,50_ratio_after_L50_backward,cases_L50_backward,50_ratio_after_G50_backward,cases_G50_backward,feel_L10_backward,feel_G10_backward,feel_L50_backward,feel_G50_backward,depression_backward,hostility_backward,boredom_backward,liveliness_backward,well_being_backward,friendliness_backward,concentration_backward,startle_backward
1,8,6,8,14,17,16,18,9,0.4167,0.4286,0.5342,73,0.3134,67,0.15,40,0.3171,41,1.0,33,0.3077,26,4,7,7,7,8,8,7,13,14,12,11,8,0.2361,0.2429,0.3529,68,0.1389,72,0.1429,49,0.1207,58,0.8947,19,0.2143,14,5,6,5,7,8,5,10,10,20,13,14,9
2,9,5,6,12,14,11,14,9,0.2014,0.2071,0.1791,67,0.2329,73,0.1373,51,0.1967,61,0.3125,16,0.4167,12,4,5,2,6,10,7,13,7,9,8,12,6,0.2847,0.2857,0.3088,68,0.2639,72,0.2889,45,0.2407,54,0.3478,23,0.3333,18,3,5,1,6,14,6,9,9,13,8,15,9
3,9,5,11,10,13,7,13,10,0.4792,0.4857,0.5303,66,0.4459,74,0.5526,38,0.5294,34,0.5,28,0.375,40,3,5,1,7,13,11,11,10,9,8,14,10,0.3889,0.3929,0.3699,73,0.4179,67,0.3404,47,0.45,40,0.4231,26,0.3704,27,3,6,1,7,10,13,12,8,10,6,12,7
4,10,6,11,10,16,10,15,10,0.9514,0.9571,0.9589,73,0.9552,67,0.3333,3,0.5,4,0.9857,70,0.9841,63,4,4,3,5,10,10,11,10,15,10,12,10,0.9375,0.9357,0.9028,72,0.9706,68,0.4286,7,1.0,2,0.9538,65,0.9697,66,4,4,2,6,10,10,10,10,10,10,10,11
5,11,6,14,10,11,10,10,6,0.5,0.4857,0.5758,66,0.4054,74,0.5405,37,0.6364,33,0.6207,29,0.2195,41,3,5,3,6,9,7,18,6,6,8,9,7,0.6042,0.6,0.6429,70,0.5571,70,0.5714,28,0.6667,27,0.6905,42,0.4884,43,4,5,3,5,8,5,14,5,5,5,5,5
6,10,7,11,14,13,13,13,8,0.6736,0.6643,0.7429,70,0.5857,70,0.4783,23,0.5217,23,0.8723,47,0.617,47,4,4,1,7,10,7,17,5,9,8,9,6,0.6667,0.6643,0.7571,70,0.5714,70,0.56,25,0.5455,22,0.8667,45,0.5833,48,4,5,1,7,11,6,14,10,10,8,11,10
7,8,6,9,12,19,7,17,6,0.4167,0.4214,0.3662,71,0.4783,69,0.2143,42,0.4211,38,0.5862,29,0.5484,31,3,4,1,7,9,12,8,18,10,8,13,10,0.2431,0.25,0.209,67,0.2877,73,0.12,50,0.1607,56,0.4706,17,0.7059,17,3,5,2,7,11,8,11,9,16,9,16,9
8,15,6,14,9,15,11,14,10,0.4514,0.4357,0.4143,70,0.4571,70,0.4706,34,0.5349,43,0.3611,36,0.3333,27,3,5,2,2,13,6,17,8,15,7,14,10,0.4375,0.4214,0.4658,73,0.3731,67,0.4634,41,0.3333,36,0.4688,32,0.4194,31,3,5,1,7,13,8,15,6,16,8,11,10
9,6,5,5,14,15,10,13,5,0.3681,0.3714,0.4507,71,0.2899,69,0.4043,47,0.2927,41,0.5417,24,0.2857,28,3,6,2,6,5,5,6,12,16,9,8,5,0.375,0.3786,0.3768,69,0.3803,71,0.3143,35,0.4038,52,0.4412,34,0.3158,19,3,5,2,6,5,5,8,13,16,7,9,5
10,7,5,6,14,7,7,10,7,0.6111,0.6,0.5797,69,0.6197,71,0.64,25,0.6552,29,0.5455,44,0.5952,42,2,4,5,5,12,13,10,9,11,5,14,5,0.6458,0.6429,0.6806,72,0.6029,68,0.6818,22,0.4615,26,0.68,50,0.6905,42,3,5,1,7,8,14,7,8,8,6,14,9
11,14,6,11,10,8,7,14,13,0.5694,0.5643,0.5217,69,0.6056,71,0.6786,28,0.25,32,0.4146,41,0.8974,39,3,5,2,7,14,13,11,10,7,6,10,11,0.6389,0.6357,0.5373,67,0.726,73,0.5862,29,0.5,22,0.5,38,0.8235,51,2,6,7,1,13,15,12,9,6,6,11,12
12,8,5,9,9,16,12,12,10,0.2431,0.25,0.1176,68,0.375,72,0.0357,56,0.5102,49,0.5,12,0.087,23,5,5,1,7,11,10,10,12,10,12,17,11,0.4514,0.4643,0.4143,70,0.5143,70,0.325,40,0.6757,37,0.5333,30,0.3333,33,3,5,1,7,12,11,10,10,11,12,15,10
13,8,6,7,15,7,8,14,11,0.5347,0.5357,0.6714,70,0.4,70,0.6,35,0.4516,31,0.7429,35,0.359,39,3,5,3,3,11,8,12,9,10,7,13,9,0.3889,0.4,0.403,67,0.3973,73,0.3902,41,0.4318,44,0.4231,26,0.3448,29,3,5,3,5,7,5,9,6,15,5,13,7
14,12,10,11,10,11,9,10,16,0.4931,0.4857,0.44,75,0.5385,65,0.5122,41,0.5806,31,0.3529,34,0.5,34,3,4,2,6,7,5,16,5,5,5,5,5,0.5347,0.5357,0.597,67,0.4795,73,0.6757,37,0.6429,28,0.5,30,0.3778,45,3,4,1,6,6,7,12,5,7,5,8,9
15,11,5,8,11,10,10,18,7,0.4931,0.4929,0.507,71,0.4783,69,0.4103,39,0.625,32,0.625,32,0.3514,37,7,1,7,7,9,8,13,8,6,9,16,11,0.6319,0.6286,0.6761,71,0.5797,69,0.6842,19,0.6333,30,0.6731,52,0.5385,39,3,5,1,7,8,5,11,6,5,8,10,6
16,10,6,15,12,18,15,12,6,0.6806,0.6714,0.6522,69,0.6901,71,0.0,24,0.0,20,1.0,45,0.9608,51,3,4,2,7,12,15,15,16,11,15,15,11,0.5208,0.5071,0.4658,73,0.5522,67,0.0263,38,0.1071,28,0.9429,35,0.8718,39,4,5,2,5,10,6,14,13,18,15,12,5
17,5,5,8,12,15,11,15,5,0.6111,0.6071,0.6164,73,0.597,67,0.5714,35,0.7143,21,0.6579,38,0.5435,46,3,5,2,7,6,5,13,9,14,10,14,5,0.5764,0.5786,0.5915,71,0.5652,69,0.5417,24,0.5152,33,0.617,47,0.6111,36,3,5,2,6,8,5,14,6,16,6,10,5
18,11,9,13,20,11,19,15,12,0.6181,0.6071,0.5362,69,0.6761,71,0.6667,27,0.24,25,0.4524,42,0.913,46,1,7,1,7,14,18,17,7,11,9,9,14,0.5764,0.5714,0.507,71,0.6377,69,0.5806,31,0.3333,30,0.45,40,0.8718,39,4,5,1,7,14,18,16,8,12,9,10,11
19,7,6,9,8,8,5,9,6,0.2917,0.2786,0.3733,75,0.1692,65,0.3793,58,0.2,40,0.3529,17,0.12,25,3,6,3,7,8,5,10,7,5,5,6,5,0.2986,0.2786,0.4306,72,0.1176,68,0.5098,51,0.1277,47,0.2381,21,0.0952,21,2,6,1,6,5,5,8,5,5,5,5,5
20,9,6,10,13,13,14,11,10,0.7222,0.7357,0.8406,69,0.6338,71,0.7778,18,0.7727,22,0.8627,51,0.5714,49,3,4,2,6,9,5,14,13,15,15,12,8,0.6111,0.6143,0.6714,70,0.5571,70,0.4643,28,0.6154,26,0.8095,42,0.5227,44,4,5,2,6,10,7,12,14,15,15,14,7
